14,12,66,35,Student Name
14,51,66,18,Suzie Q.
13,71,68,19,Jim D.
14,92,69,19,Frank L.
13,113,68,16,Sally B.
84,13,108,35,Number of Steps traveled
196,13,21,35,
296,12,21,37,
221,13,71,34,Step Distance
321,13,74,37,Total Distance
84,51,110,17,134
83,72,110,18,121
83,92,110,16,218
85,111,109,21,243
198,50,18,18,X
196,69,22,18,X
197,92,21,18,X
196,112,22,18,X
224,50,67,22,0.5 m
222,70,70,19,0.8 m
224,93,65,15,0.6 m
223,112,67,19,0.4 m
296,51,23,17,=
297,72,22,16,=
297,93,22,15,=
297,112,23,18,=
323,52,70,17,67.0 m
321,70,71,18,96.8 m
321,92,72,18,130.8 m
321,112,72,18,97.2 m
14,133,381,16,Group TOTAL: 391.8 m
